"source","source_total","source_trump","source_biden","rank","country","country_total","country_trump","country_biden"
"Twitter Web App",259626,149845,109781,1,"United States",394375,213243,181132
"Twitter for iPhone",246044,129901,116143,2,"United Kingdom",57969,34677,23292
"Twitter for Android",196663,108643,88020,3,"India",40000,18520,21480
"Twitter for iPad",29084,16349,12735,4,"Germany",35379,22618,12761
"TweetDeck",18315,10439,7876,5,"France",35292,20683,14609
"Instagram",6003,2864,3139,6,"Canada",27805,16996,10809
"Hootsuite Inc.",5778,3241,2537,7,"Italy",20073,11204,8869
"Buffer",3808,2306,1502,8,"Australia",14899,9365,5534
"dlvr.it",2294,1539,755,9,"Mexico",10899,5810,5089
"Twitter Media Studio",1756,899,857,10,"Turkey",10368,5594,4774
