"state","sum_biden","biden_total"
"Alabama",864,849648
"Alaska",429,153405
"Arizona",3248,1672143
"Arkansas",469,423932
"California",25814,11109764
"Colorado",2687,1804352
"Connecticut",878,1080680
"Delaware",331,296268
"District of Columbia",7055,317323
"Florida",13278,5297045
"Georgia",3186,2473633
"Hawaii",635,366130
"Idaho",404,287021
"Illinois",5500,4253153
"Indiana",1552,1242495
"Iowa",572,759061
"Kansas",888,558669
"Kentucky",1196,772474
"Louisiana",1022,856034
"Maine",317,430473
"Maryland",2069,1985023
"Massachusetts",3738,2382202
"Michigan",3074,2804040
"Minnesota",1622,1717077
"Mississippi",265,539398
"Missouri",1773,1253014
"Montana",287,244786
"Nebraska",374,374583
"Nevada",2233,703486
"New Hampshire",381,424921
"New Jersey",3961,2608335
"New Mexico",446,501614
"New York",21004,5244006
"North Carolina",3054,2684292
"North Dakota",289,114902
"Ohio",4413,2679165
"Oklahoma",806,503890
"Oregon",2250,1340383
"Pennsylvania",5403,3459923
"Rhode Island",234,306210
"South Carolina",1174,1091541
"South Dakota",86,150471
"Tennessee",1993,1143913
"Texas",14191,5259126
"Utah",813,560282
"Vermont",228,242820
"Virginia",2226,2413568
"Washington",2112,2369612
"West Virginia",367,235984
"Wisconsin",1657,1630673
"Wyoming",238,73491
