word,n
covid,65616
maga,55649
president,53975
win,45028
people,43067
electionday,41980
result,36399
debate,31013
die,29800
time,22654
news,21723
potus,21443
electionnight,21115
coronavirus,17746
democrats,17122
country,16955
world,16882
twitter,16331
trumpmeltdown,16136
supporters,16026
day,15118
republicans,14898
white,14863
florida,14384
foxnews,14354
china,14222
pennsylvania,13957
media,13821
campaign,13221
stop,13073
pour,12553
republican,12339
wins,12208
fraud,11891
michigan,11832
obama,11785
house,11759
lies,11750
kamalaharris,11548
votehimout,11040
georgia,10972
politics,10865
landslide,10731
democracy,10702
love,10389
support,10385
watch,10351
whitehouse,10122
pas,9976
trumpislosing,9880
live,9831
arizona,9217
son,9174
care,9125
lost,9084
presidente,9068
msnbc,9010
god,8881
texas,8835
real,8803
tosaveamerica,8719
pandemic,8613
truth,8449
nevada,8429
presidential,8389
hope,8294
family,8275
video,8247
rally,8212
youtube,8129
victory,8109
bidenharis,8082
money,8076
plan,7982
ballots,7924
landslidevictory,7848
left,7779
