"state","biden_total","trump_total","trump_minus_biden"
"Alabama",849648,1441168,591520
"Alaska",153405,189892,36487
"Arizona",1672143,1661686,-10457
"Arkansas",423932,760647,336715
"California",11109764,6005961,-5103803
"Colorado",1804352,1364607,-439745
"Connecticut",1080680,715291,-365389
"Delaware",296268,200603,-95665
"District of Columbia",317323,18586,-298737
"Florida",5297045,5668731,371686
"Georgia",2473633,2461854,-11779
"Hawaii",366130,196864,-169266
"Idaho",287021,554119,267098
"Illinois",4253153,2823926,-1429227
"Indiana",1242495,1729852,487357
"Iowa",759061,897672,138611
"Kansas",558669,758100,199431
"Kentucky",772474,1326646,554172
"Louisiana",856034,1255776,399742
"Maine",430473,359899,-70574
"Maryland",1985023,976414,-1008609
"Massachusetts",2382202,1167202,-1215000
"Michigan",2804040,2649852,-154188
"Minnesota",1717077,1484065,-233012
"Mississippi",539398,756764,217366
"Missouri",1253014,1718736,465722
"Montana",244786,343602,98816
"Nebraska",374583,556846,182263
"Nevada",703486,669890,-33596
"New Hampshire",424921,365654,-59267
"New Jersey",2608335,1883274,-725061
"New Mexico",501614,401894,-99720
"New York",5244006,3250230,-1993776
"North Carolina",2684292,2758773,74481
"North Dakota",114902,235595,120693
"Ohio",2679165,3154834,475669
"Oklahoma",503890,1020280,516390
"Oregon",1340383,958448,-381935
"Pennsylvania",3459923,3378263,-81660
"Rhode Island",306210,199837,-106373
"South Carolina",1091541,1385103,293562
"South Dakota",150471,261043,110572
"Tennessee",1143913,1852948,709035
"Texas",5259126,5890347,631221
"Utah",560282,865140,304858
"Vermont",242820,112704,-130116
"Virginia",2413568,1962430,-451138
"Washington",2369612,1584651,-784961
"West Virginia",235984,545382,309398
"Wisconsin",1630673,1610065,-20608
"Wyoming",73491,193559,120068
