state,sum_biden,sum_trump,trump_minus_biden,vote_trump_minus_biden,vote_biden_total,vote_trump_total
Alabama,864,849,-15,591520,849648,1441168
Alaska,429,311,-118,36487,153405,189892
Arizona,3248,2865,-383,-10457,1672143,1661686
Arkansas,469,613,144,336715,423932,760647
California,25814,31140,5326,-5103803,11109764,6005961
Colorado,2687,3618,931,-439745,1804352,1364607
Connecticut,878,1141,263,-365389,1080680,715291
Delaware,331,245,-86,-95665,296268,200603
District of Columbia,7055,9683,2628,-298737,317323,18586
Florida,13278,16554,3276,371686,5297045,5668731
Georgia,3186,2876,-310,-11779,2473633,2461854
Hawaii,635,706,71,-169266,366130,196864
Idaho,404,608,204,267098,287021,554119
Illinois,5500,6776,1276,-1429227,4253153,2823926
Indiana,1552,1556,4,487357,1242495,1729852
Iowa,572,880,308,138611,759061,897672
Kansas,888,900,12,199431,558669,758100
Kentucky,1196,1484,288,554172,772474,1326646
Louisiana,1022,1125,103,399742,856034,1255776
Maine,317,398,81,-70574,430473,359899
Maryland,2069,2189,120,-1008609,1985023,976414
Massachusetts,3738,4719,981,-1215000,2382202,1167202
Michigan,3074,3053,-21,-154188,2804040,2649852
Minnesota,1622,1821,199,-233012,1717077,1484065
Mississippi,265,241,-24,217366,539398,756764
Missouri,1773,2303,530,465722,1253014,1718736
Montana,287,173,-114,98816,244786,343602
Nebraska,374,394,20,182263,374583,556846
Nevada,2233,2388,155,-33596,703486,669890
New Hampshire,381,272,-109,-59267,424921,365654
New Jersey,3961,5045,1084,-725061,2608335,1883274
New Mexico,446,502,56,-99720,501614,401894
New York,21004,22881,1877,-1993776,5244006,3250230
North Carolina,3054,3415,361,74481,2684292,2758773
North Dakota,289,483,194,120693,114902,235595
Ohio,4413,3871,-542,475669,2679165,3154834
Oklahoma,806,847,41,516390,503890,1020280
Oregon,2250,3126,876,-381935,1340383,958448
Pennsylvania,5403,7011,1608,-81660,3459923,3378263
Rhode Island,234,261,27,-106373,306210,199837
South Carolina,1174,1090,-84,293562,1091541,1385103
South Dakota,86,75,-11,110572,150471,261043
Tennessee,1993,2253,260,709035,1143913,1852948
Texas,14191,16491,2300,631221,5259126,5890347
Utah,813,917,104,304858,560282,865140
Vermont,228,909,681,-130116,242820,112704
Virginia,2226,2489,263,-451138,2413568,1962430
Washington,2112,2759,647,-784961,2369612,1584651
West Virginia,367,300,-67,309398,235984,545382
Wisconsin,1657,1480,-177,-20608,1630673,1610065
Wyoming,238,269,31,120068,73491,193559
Puerto Rico,484,512,28,0,0,0
